column,n_total,n_real,pct_real,n_unique
Characteristics[Age],1659,0,0.0,0
Characteristics[AlkylationReagent],1659,1516,91.4,2
Characteristics[AnatomicSiteTumor],1659,0,0.0,0
Characteristics[AncestryCategory],1659,0,0.0,0
Characteristics[BMI],1659,0,0.0,0
Characteristics[Bait],1659,10,0.6,4
Characteristics[BiologicalReplicate],1659,1520,91.6,15
Characteristics[CellLine],1659,0,0.0,0
Characteristics[CellPart],1659,0,0.0,0
Characteristics[CellType],1659,0,0.0,0
Characteristics[CleavageAgent],1659,1659,100.0,2
Characteristics[Compound],1659,31,1.9,2
Characteristics[ConcentrationOfCompound],1659,0,0.0,0
Characteristics[Depletion],1659,0,0.0,0
Characteristics[DevelopmentalStage],1659,0,0.0,0
Characteristics[DiseaseTreatment],1659,0,0.0,0
Characteristics[Disease],1659,1546,93.2,9
Characteristics[GeneticModification],1659,56,3.4,8
Characteristics[Genotype],1659,0,0.0,0
Characteristics[GrowthRate],1659,0,0.0,0
Characteristics[Label],1659,1659,100.0,17
Characteristics[MaterialType],1659,1659,100.0,5
Characteristics[Modification],1659,1659,100.0,3
Characteristics[Modification].1,1659,1659,100.0,6
Characteristics[Modification].2,1659,1420,85.6,4
Characteristics[Modification].3,1659,0,0.0,0
Characteristics[Modification].4,1659,0,0.0,0
Characteristics[Modification].5,1659,0,0.0,0
Characteristics[Modification].6,1659,0,0.0,0
Characteristics[NumberOfBiologicalReplicates],1659,56,3.4,1
Characteristics[NumberOfSamples],1659,1659,100.0,12
Characteristics[NumberOfTechnicalReplicates],1659,1659,100.0,1
Characteristics[OrganismPart],1659,0,0.0,0
Characteristics[Organism],1659,1659,100.0,3
Characteristics[OriginSiteDisease],1659,0,0.0,0
Characteristics[PooledSample],1659,0,0.0,0
Characteristics[ReductionReagent],1659,1602,96.6,2
Characteristics[SamplingTime],1659,0,0.0,0
Characteristics[Sex],1659,0,0.0,0
Characteristics[Specimen],1659,2,0.1,1
Characteristics[SpikedCompound],1659,0,0.0,0
Characteristics[Staining],1659,0,0.0,0
Characteristics[Strain],1659,0,0.0,0
Characteristics[SyntheticPeptide],1659,0,0.0,0
Characteristics[Temperature],1659,1231,74.2,14
Characteristics[Time],1659,0,0.0,0
Characteristics[Treatment],1659,40,2.4,3
Characteristics[TumorCellularity],1659,0,0.0,0
Characteristics[TumorGrade],1659,0,0.0,0
Characteristics[TumorSite],1659,0,0.0,0
Characteristics[TumorSize],1659,0,0.0,0
Characteristics[TumorStage],1659,0,0.0,0
Comment[AcquisitionMethod],1659,1565,94.3,2
Comment[CollisionEnergy],1659,1561,94.1,9
Comment[EnrichmentMethod],1659,0,0.0,0
Comment[FlowRateChromatogram],1659,0,0.0,0
Comment[FractionIdentifier],1659,6,0.4,1
Comment[FractionationMethod],1659,1376,82.9,1
Comment[FragmentMassTolerance],1659,1474,88.8,5
Comment[FragmentationMethod],1659,1657,99.9,3
Comment[GradientTime],1659,1402,84.5,3
Comment[Instrument],1659,1659,100.0,11
Comment[IonizationType],1659,0,0.0,0
Comment[MS2MassAnalyzer],1659,194,11.7,1
Comment[NumberOfFractions],1659,0,0.0,0
Comment[NumberOfMissedCleavages],1659,1659,100.0,2
Comment[PrecursorMassTolerance],1659,1392,83.9,3
Comment[Separation],1659,1600,96.4,1
FactorValue[Bait],1659,10,0.6,4
FactorValue[CellPart],1659,0,0.0,0
FactorValue[Compound],1659,31,1.9,2
FactorValue[ConcentrationOfCompound].1,1659,0,0.0,0
FactorValue[Disease],1659,0,0.0,0
FactorValue[FractionIdentifier],1659,6,0.4,1
FactorValue[GeneticModification],1659,56,3.4,8
FactorValue[Temperature],1659,1231,74.2,14
FactorValue[Treatment],1659,40,2.4,3
